Temperature,n true positive,n false positive,unclear
1,6,4,0
1.5,9,1,0
2,5,4,1
3,5,5,0
4,7,1,2
5,6,4,0
6,5,5,0
7,3,7,0
8,1,9,0
9,3,7,0
10,0,8,2
