Temperature,n true positive,n false positive,unclear
1,8,1,1
1.5,9,1,
2,10,0,
3,7,2,1
4,5,1,4
5,1,9,
6,2,8,
7,1,8,1
8,1,9,
9,4,6,
10,3,7,
