Temperature,n true positive,n false positive,unclear
1,5,3,2
1.5,9,1,
2,9,1,
3,4,4,2
4,9,1,
5,1,6,3
6,2,6,2
7,3,7,1
8,0,8,2
9,5,4,1
10,1,9,
