Temperature,n true positive,n false positive,unclear
1,9,0,1
1.5,10,0,
2,7,0,3
3,9,0,1
4,4,1,3
5,3,5,2
6,5,4,1
7,3,4,1
8,0,7,3
9,1,5,4
10,0,7,3
