;0
 0.5°C;23
 1°C;73
 1.5°C;42
 2°C;95
 2.5°C;28
 3°C;33
 3.5°C;5
 4°C;24
 4.5°C;23
 5°C;9
 5.5°C;0
 6°C;18
 6.5°C;1
 7°C;3
 7.5°C;0
 8°C;7
 8.5°C;0
 9°C;3
 9.5°C;0
 10°C;3
